year	month	data-type	region	extent	area	time
1989	9	Goddard	N	7.01	4.86	1989.70833333333
1989	9	Goddard	S	18.12	14.48	1989.70833333333
1989	10	Goddard	N	8.83	6.96	1989.79166666667
1989	10	Goddard	S	17.86	13.85	1989.79166666667
1989	11	Goddard	N	11.12	9.46	1989.875
1989	11	Goddard	S	15.73	11.42	1989.875
1989	12	Goddard	N	13.39	11.61	1989.95833333333
1989	12	Goddard	S	9.84	6.7	1989.95833333333
1990	1	Goddard	N	14.78	12.8	1990.04166666667
1990	1	Goddard	S	4.87	3.39	1990.04166666667
1990	2	Goddard	N	15.58	13.42	1990.125
1990	2	Goddard	S	3.04	2.21	1990.125
1990	3	Goddard	N	15.87	13.51	1990.20833333333
1990	3	Goddard	S	3.97	2.79	1990.20833333333
1990	4	Goddard	N	14.65	12.28	1990.29166666667
1990	4	Goddard	S	7	5.18	1990.29166666667
1990	5	Goddard	N	13.23	10.9	1990.375
1990	5	Goddard	S	9.72	7.46	1990.375
1990	6	Goddard	N	11.64	9.2	1990.45833333333
1990	6	Goddard	S	13.08	10.35	1990.45833333333
1990	7	Goddard	N	9.25	6.52	1990.54166666667
1990	7	Goddard	S	15.57	12.27	1990.54166666667
1990	8	Goddard	N	6.8	4.99	1990.625
1990	8	Goddard	S	17.57	14.03	1990.625
1990	9	Goddard	N	6.14	4.55	1990.70833333333
1990	9	Goddard	S	18.19	14.39	1990.70833333333
1990	10	Goddard	N	8.48	6.74	1990.79166666667
1990	10	Goddard	S	17.95	13.8	1990.79166666667
1990	11	Goddard	N	11.08	9.64	1990.875
1990	11	Goddard	S	15.47	11.35	1990.875
1990	12	Goddard	N	13.11	11.47	1990.95833333333
1990	12	Goddard	S	9.95	6.73	1990.95833333333
1991	1	Goddard	N	14.36	12.57	1991.04166666667
1991	1	Goddard	S	5.34	3.52	1991.04166666667
1991	2	Goddard	N	15.25	13.22	1991.125
1991	2	Goddard	S	3.16	2.09	1991.125
1991	3	Goddard	N	15.42	13.42	1991.20833333333
1991	3	Goddard	S	3.81	2.65	1991.20833333333
1991	4	Goddard	N	14.86	12.87	1991.29166666667
