sex	age	perceivedWeight	height	weight
Male	15	Slightly overweight	187.96	81.64656
Female	17	About the right weight	162.56	52.616672
Male	17	Slightly overweight	167.64	72.57472
Female	19	Slightly overweight	165.1	63.50288
Male	16	About the right weight	172.72	58.96696
Female	17	Slightly overweight	167.64	74.84268
Male	18	Slightly overweight	185.42	88.45044
Female	17	Slightly overweight	152.4	40.82328
Male	19	Slightly underweight	187.96	72.57472
Male	19	Slightly underweight	190.5	90.7184
Male	15	Slightly overweight	162.56	61.23492
Female	19	Slightly overweight	162.56	52.16308
Female	17	About the right weight	157.48	51.255896
Male	15	Slightly underweight	165.1	51.255896
Male	16	About the right weight	182.88	68.0388
Female	19	About the right weight	157.48	54.43104
Male	19	Slightly underweight	157.48	49.89512
Female	17	About the right weight	160.02	44.452016
Female	15	Slightly overweight	167.64	51.255896
Female	19	Slightly overweight	172.72	-0.907184
Male	17	About the right weight	175.26	65.77084
Male	16	Very underweight	182.88	59.874144
Female	18	Slightly overweight	157.48	50.802304
Female	18	Slightly overweight	157.48	52.16308
Male	17	About the right weight	162.56	56.699
Male	15	About the right weight	165.1	56.699
Male	17	About the right weight	177.8	90.7184
Male	15	Very underweight	152.4	-0.907184
Male	15	Slightly underweight	160.02	50.802304
Male	15	About the right weight	160.02	49.89512
Male	15	About the right weight	170.18	64.410064
Male	18	About the right weight	167.64	58.96696
Male	16	About the right weight	162.56	63.50288
Male	16	About the right weight	175.26	68.0388
Male	15	About the right weight	172.72	72.57472
Female	18	About the right weight	167.64	63.50288
Female	17	Very overweight	157.48	78.925008
Female	17	About the right weight	160.02	53.070264
Male	18	Slightly overweight	182.88	102.0582
Male	16	Slightly underweight	177.8	65.77084
Female	16	Slightly overweight	149.86	54.43104
Male	15	About the right weight	170.18	61.23492
Male	19	About the right weight	198.12	117.93392
Female	18	Very overweight	162.56	79.3786
Female	15	About the right weight	162.56	58.059776
Female	15	Slightly overweight	152.4	54.43104
Female	17	About the right weight	160.02	53.070264
Female	19	Slightly overweight	165.1	72.57472
Male	18	About the right weight	167.64	68.0388
Female	18	Very underweight	165.1	77.11064
Male	15	About the right weight	165.1	-0.907184
Male	18	About the right weight	180.34	79.3786
Female	17	About the right weight	167.64	67.131616
Male	16	Slightly underweight	177.8	56.245408
Female	15	Slightly overweight	165.1	-0.907184
Female	18	Very overweight	162.56	127.00576
Male	18	Slightly overweight	185.42	111.13004
Female	15	Slightly underweight	167.64	45.812792
Male	15	Slightly underweight	182.88	69.853168
Male	16	About the right weight	175.26	72.57472
Female	19	About the right weight	149.86	54.43104
Male	15	Very overweight	172.72	95.25432
Male	17	About the right weight	172.72	69.853168
Male	19	Slightly overweight	182.88	88.45044
Female	16	Slightly underweight	157.48	48.080752
Female	17	About the right weight	170.18	63.50288
Female	18		170.18	61.23492
Female	16	Slightly overweight	167.64	68.0388
Male	19	About the right weight	170.18	63.049288
Male	19	Slightly overweight	170.18	72.57472
Male	16	About the right weight	170.18	70.30676
Male	15	Slightly overweight	167.64	65.77084
Male	15	Slightly overweight	157.48	63.50288
Male	16	About the right weight	175.26	68.0388
Male	17	About the right weight	177.8	58.96696
Male	19	About the right weight	175.26	69.399576
Male	19	About the right weight	187.96	81.64656
Female	17	About the right weight	172.72	56.699
Male	15	About the right weight	177.8	61.23492
Female	15	Slightly overweight	167.64	56.699
Female	15	Slightly overweight	177.8	80.739376
Male	19	About the right weight	182.88	72.57472
Male	18	About the right weight	193.04	74.84268
Female	16	Slightly overweight	165.1	58.96696
Female	18	About the right weight	160.02	54.43104
Male	19	About the right weight	177.8	79.3786
Female	19	Slightly overweight	175.26	88.45044
Male	19	About the right weight	165.1	71.213944
Female	19	Slightly overweight	167.64	72.57472
Male	17	Slightly underweight	187.96	74.84268
Male	19	Slightly overweight	182.88	145.14944
Female	19	Very overweight	167.64	-0.453592
Female	18	Slightly overweight	172.72	63.50288
Female	19	About the right weight	152.4	47.173568
Female	16	Slightly overweight	165.1	58.96696
Male	16	About the right weight	175.26	68.0388
Male	15	About the right weight	185.42	70.30676
Male	19	About the right weight	180.34	79.3786
Male	17	About the right weight	177.8	79.3786
Male	18	About the right weight	167.64	61.23492
Female	15	Very overweight	172.72	-0.907184
Female	15	About the right weight	165.1	52.616672
Female	17	Slightly overweight	167.64	65.77084
Female	18	About the right weight	160.02	63.50288
Male	18	About the right weight	160.02	64.410064
Female	15	About the right weight	134.62	44.452016
Male	18	Slightly overweight	167.64	120.20188
Male	16	About the right weight	167.64	74.389088
Female	15	About the right weight	160.02	72.57472
Male	19	Slightly overweight	180.34	79.3786
Female	15	About the right weight	157.48	53.523856
Male	17	Slightly underweight	193.04	70.30676
Female	18	Slightly overweight	165.1	68.0388
Female	18	About the right weight	180.34	74.84268
Male	16	About the right weight	187.96	81.64656
Female	15	Slightly overweight	167.64	74.84268
Male	19	About the right weight	162.56	72.57472
Male	17	Slightly overweight	167.64	95.25432
Female	18	Slightly overweight	162.56	65.77084
Male	19	Slightly overweight	170.18	74.84268
Female	17	Slightly underweight	170.18	72.57472
Male	16	About the right weight	160.02	72.57472
Female	16	Slightly overweight	157.48	64.863656
Female	16	Very underweight	142.24	61.688512
Female	15	Slightly overweight	157.48	56.699
Female	19	About the right weight	160.02	58.96696
Male	16		172.72	68.0388
Female	18	Very overweight	165.1	63.50288
Female	17	Very overweight	160.02	86.18248
Male	17	About the right weight	185.42	79.3786
Male	15	About the right weight	180.34	77.11064
Male	16	About the right weight	177.8	79.832192
Male	19	Very overweight	175.26	77.11064
Male	17	Slightly overweight	170.18	72.57472
Female	16	About the right weight	172.72	46.719976
Female	17	About the right weight	152.4	49.89512
Female	16	About the right weight	152.4	46.266384
Female	18	Slightly overweight	157.48	56.699
Male	17	About the right weight	157.48	49.89512
Female	17	About the right weight	165.1	57.152592
Female	15	Slightly overweight	149.86	-0.907184
Male	15	Slightly underweight	170.18	57.152592
Female	18	About the right weight	154.94	58.96696
Female	17	About the right weight	154.94	47.173568
Female	18	Very underweight	167.64	47.173568
Male	19	About the right weight	175.26	81.64656
Female	16	Slightly overweight	152.4	68.0388
Female	17	About the right weight	154.94	54.43104
Female	15	Slightly underweight	157.48	45.812792
Male	18	About the right weight	172.72	66.678024
Male	17	About the right weight	180.34	70.30676
Female	17	About the right weight	152.4	54.43104
Female	17	About the right weight	157.48	54.43104
Female	17	Slightly overweight	165.1	70.30676
Female	19	About the right weight	165.1	61.23492
Male	15	About the right weight	177.8	84.821704
Male	16	About the right weight	180.34	106.59412
Male	19	About the right weight	172.72	63.50288
Female	17	About the right weight	152.4	45.3592
