lon,lat,imgUrl,collector,pkm,location,env
-122.3100590,47.6558460,imageAu22/GEO_Tepig/pkm8_kirchmeier.jpg,alex-kirchmeier,Mareep,walkway,built
-122.3095500,47.6563170,imageAu22/GEO_Tepig/pkm9_kirchmeier.jpg,alex-kirchmeier,Pikachu,walkway,built
-122.3094390,47.6571620,imageAu22/GEO_Tepig/pkm10_shi.jpg,yuntian-shi,Stufful,grass,nature
-122.3101450,47.6576010,imageAu22/GEO_Tepig/pkm11_shi.jpg,yuntian-shi,Popplio,ground,nature
-122.3076290,47.6575440,imageAu22/GEO_Tepig/pkm12_shi.jpg,yuntian-shi,Nuzleaf,walkway,built
-122.3068110,47.6569750,imageAu22/GEO_Tepig/pkm13_shi.jpg,yuntian-shi,Dwebble,walkway,built
-122.3084400,47.6564800,pkmn1_Lindholm,Carson and Caitlin,Eevee,building,built
-122.3085500,47.6564000,pkmn2_Lindholm,Carson and Caitlin,Fledgling,walkway,built
-122.3089100,47.6557900,pkmn3_Lindholm,Carson and Caitlin,Quilfish,walkway,built
-122.3088300,47.6554100,pkmn4_Lindholm,Carson and Caitlin,Cyndaquil,pavement,built
-122.3087400,47.6552500,pkmn5_Lindholm,Carson and Caitlin,Miltank,walkway,built
-122.3105200,47.6545800,pkmn6_Lindholm,Carson and Caitlin,Oricorio,pavement,built
-122.3105200,47.6545800,pkmn7_Lindholm,Carson and Caitlin,Digglet,building,built
-122.3091700,47.6521900,pkmn8_Lindholm,Carson and Caitlin,Stufful,building,built
-122.3088300,47.6520400,pkmn9_Lindholm,Carson and Caitlin,Lanturn,bushes,nature
-122.3099500,47.6525200,pkmn10_Lindholm,Carson and Caitlin,Piloswine,walkway,built
-122.3083240,47.6585807,imageAu22/CheungGarcia/PKM1_CheungGarcia.png,CheungGarcia,Bulbasaur,pavement,built
-122.3083254,47.6587987,imageAu22/CheungGarcia/PKM2_CheungGarcia.png,CheungGarcia,Popplio,building,built
-122.3088776,47.6590013,imageAu22/CheungGarcia/PKM3_CheungGarcia.png,CheungGarcia,Glameow,grass,nature
-122.3103421,47.6592558,imageAu22/CheungGarcia/PKM4_CheungGarcia.png,CheungGarcia,Ducklett,pavement,built
-122.3109925,47.6592045,imageAu22/CheungGarcia/PKM5_CheungGarcia.png,CheungGarcia,Popplio,pavement,built
-122.3105795,47.6601209,imageAu22/CheungGarcia/PKM6_CheungGarcia.png,CheungGarcia,Dwebble,sidewalk,built
-122.3106864,47.6605287,imageAu22/CheungGarcia/PKM7_CheungGarcia.png,CheungGarcia,Deerling,parking lot,built
-122.3084176,47.6599197,imageAu22/CheungGarcia/PKM8_CheungGarcia.png,CheungGarcia,Stufful,trail,nature
-122.3148639,47.6539705,pkm1_dorsett,Dorsett,Phanpy,walkway,built
-122.3150769,47.6540316,pkm2_dorsett,Dorsett,Spinarak,parking lot,built
-122.3082081,47.6539018,pkm2_dorsett,Dorsett,Linoone,walkway,built
-122.3056869,47.6557595,imageAu22/Team_Rocket/munna_DelaCuesta.JPG,AZ Dela Cuesta,Munna,walkway,built
-122.3058000,47.6548000,imageAu22/Team_Rocket/Machop_DelaCuesta.JPG,AZ Dela Cuesta,Machop,walkway,built
-122.3048800,47.6548000,imageAu22/Team_Rocket/Ekans_DelaCuesta.JPG,AZ Dela Cuesta,Ekans,walkway,built
